"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","GDP","TOT","USD_CAP","A","2018",45191.892646,
"OECD","GDP","TOT","USD_CAP","A","2019",46667.515133,"P"
"OECD","GDP","TOT","USD_CAP","A","2020",45347.519328,"P"
"OECD","GDP","TOT","USD_CAP","A","2021",48957.282907,"E"
"EU27_2020","GDP","TOT","USD_CAP","A","2018",44673.301124,
"EU27_2020","GDP","TOT","USD_CAP","A","2019",47448.209099,
"EU27_2020","GDP","TOT","USD_CAP","A","2020",45842.156025,
"EU27_2020","GDP","TOT","USD_CAP","A","2021",48900.26597,
